"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"1",9,0,1,6,1,1,1,1,0.3296132,0.000194577902153718,0.330252,0.000541456184739225
"2",9,0,1,6,1,1,1,2,0.2639254,0.000484115110303929,0.2651096,0.000793779717555642
"3",9,0,1,6,1,1,1,3,0.248869,0.000593124270281669,0.2503088,0.00084742773143192
"4",9,0,1,6,1,1,1,4,0.2444722,0.000411394895451898,0.2460268,0.00101703360809743
"5",9,0,1,6,1,1,1,5,0.241889,0.000391536460625006,0.2436326,0.000920973962714685
"6",9,0,1,6,1,1,1,6,0.2393726,0.000697952032739176,0.241374,0.000725252231979938
"7",9,0,1,6,1,1,1,7,0.236949,0.00103428313338418,0.239032,0.000886792196628104
"8",9,0,1,6,1,1,1,8,0.235002,0.00146634293396521,0.2372002,0.000766859152649237
"9",9,0,1,6,1,1,1,9,0.2329878,0.00134188321399366,0.2354376,0.000796235794221427
"10",9,0,1,6,1,1,1,10,0.231605,0.00171882052582623,0.234073,0.00148276606381528
"11",9,0,1,6,1,1,1,11,0.230058,0.00192504753188249,0.2326232,0.00215285748715434
"12",9,0,1,6,1,1,1,12,0.228247,0.00231252563228989,0.2309714,0.00249441340599341
"13",9,0,1,6,1,1,1,13,0.2250168,0.00262526832152376,0.2281672,0.00258259105551219
"14",9,0,1,6,1,1,1,14,0.2230518,0.0019647220057825,0.226515,0.00224548275433343
"15",9,0,1,6,1,1,1,15,0.2214492,0.0014681428268388,0.225159,0.00199554303386292
"16",9,0,1,6,1,1,1,16,0.2203362,0.00199736570512204,0.2241752,0.00265659755326278
"17",9,0,1,6,1,1,1,17,0.218455,0.00177415072640288,0.2225028,0.00250262593289505
"18",9,0,1,6,1,1,1,18,0.2168416,0.00143143810205017,0.221184,0.00213313693887741
"19",9,0,1,6,1,1,1,19,0.2154134,0.000962567317124205,0.2199976,0.00188238759026676
"20",9,0,1,6,1,1,1,20,0.2146068,0.00105925490794089,0.219278,0.00185286232624014
"21",9,0,1,6,1,1,1,21,0.2131384,0.00100476576374665,0.2180594,0.00173867381645066
"22",9,0,1,6,1,1,1,22,0.212061,0.00116672910309258,0.2171714,0.00190100811150273
"23",9,0,1,6,1,1,1,23,0.2104532,0.00150291468819475,0.2156952,0.00229125610964772
"24",9,0,1,6,1,1,1,24,0.2095402,0.0015667374253528,0.2149036,0.00240911208539548
"25",9,0,1,6,1,1,1,25,0.2087204,0.0015081049830815,0.2141716,0.00233577418429157
"26",9,0,1,6,1,1,1,26,0.2071214,0.00188332584541301,0.212962,0.00247095147665809
"27",9,0,1,6,1,1,1,27,0.2059448,0.00186337590410766,0.2119246,0.00232070261774267
"28",9,0,1,6,1,1,1,28,0.204129,0.00169826699903246,0.2103738,0.00247974090581996
"29",9,0,1,6,1,1,1,29,0.2030148,0.00206546008434027,0.2093418,0.00270118058633671
"30",9,0,1,6,1,1,1,30,0.2018032,0.0019313851402572,0.2084634,0.00274862959308811
"31",9,0,1,6,1,1,1,31,0.2004436,0.00223975727256247,0.2072344,0.00312385432438792
"32",9,0,1,6,1,1,1,32,0.199459,0.00183779269777667,0.2063814,0.00272524440004941
"33",9,0,1,6,1,1,1,33,0.198245,0.00221313921839426,0.205476,0.00327750728450754
"34",9,0,1,6,1,1,1,34,0.1976182,0.00223612087329796,0.2049456,0.00324355142398033
"35",9,0,1,6,1,1,1,35,0.1969052,0.00247469613488105,0.2044628,0.00338022705746237
"36",9,0,1,6,1,1,1,36,0.196142,0.0026838459717342,0.2038706,0.00346680496134531
"37",9,0,1,6,1,1,1,37,0.1950786,0.00259516878834515,0.2030166,0.00347421183004247
"38",9,0,1,6,1,1,1,38,0.1941868,0.0026240331857669,0.2022916,0.00349474614814752
