"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"1",11,0,0.75,6,0.75,0,1,1,0.2665242,0.00187930257276359,0.268066,0.00137400014556048
"2",11,0,0.75,6,0.75,0,1,2,0.2431644,0.00201971805953188,0.245764,0.000980325048131382
"3",11,0,0.75,6,0.75,0,1,3,0.2367614,0.00179184548440661,0.2399294,0.000823892371610739
"4",11,0,0.75,6,0.75,0,1,4,0.2334866,0.00201017786277845,0.2369692,0.00146871718176219
"5",11,0,0.75,6,0.75,0,1,5,0.2301308,0.00110523036512605,0.2339408,0.000896283749707984
"6",11,0,0.75,6,0.75,0,1,6,0.2266038,0.000391408431183972,0.2307844,0.000838223025214437
"7",11,0,0.75,6,0.75,0,1,7,0.2245182,0.00075509692093196,0.228788,0.0003942917701451
"8",11,0,0.75,6,0.75,0,1,8,0.2221208,0.00100735443613177,0.2266888,0.000790938278251401
"9",11,0,0.75,6,0.75,0,1,9,0.218311,0.000616994003212249,0.223389,0.00121607121501972
"10",11,0,0.75,6,0.75,0,1,10,0.2150558,0.00169975073466825,0.2204664,0.00205922583511287
"11",11,0,0.75,6,0.75,0,1,11,0.2125888,0.00142194196787464,0.2184032,0.0019418682138571
"12",11,0,0.75,6,0.75,0,1,12,0.2110232,0.00122972214747935,0.2171386,0.00158454354310335
"13",11,0,0.75,6,0.75,0,1,13,0.2086686,0.00150961936924697,0.2151214,0.00186642681078216
"14",11,0,0.75,6,0.75,0,1,14,0.2065166,0.000795443423511542,0.2133654,0.0014227655604506
"15",11,0,0.75,6,0.75,0,1,15,0.2033804,0.0015718323829223,0.210705,0.0016913554327828
"16",11,0,0.75,6,0.75,0,1,16,0.2013506,0.00175562519918172,0.2088588,0.0019876204265412
"17",11,0,0.75,6,0.75,0,1,17,0.2000294,0.0019352475397218,0.207758,0.00201965333658963
"18",11,0,0.75,6,0.75,0,1,18,0.198226,0.00184169943259055,0.2063138,0.00185247071771824
"19",11,0,0.75,6,0.75,0,1,19,0.1960512,0.0013438110581449,0.2044442,0.00155021810078719
