"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"1",6,0,0.75,8,0.75,1,1,1,0.336939,0.00228997563305873,0.3371122,0.00175216065473882
"2",6,0,0.75,8,0.75,1,1,2,0.2778986,0.00217080644922511,0.2783542,0.00171083013767947
"3",6,0,0.75,8,0.75,1,1,3,0.2626248,0.00122749165374222,0.2632364,0.000969190713949964
"4",6,0,0.75,8,0.75,1,1,4,0.2574626,0.00143558275275543,0.2581154,0.00113158218438142
"5",6,0,0.75,8,0.75,1,1,5,0.255117,0.00170478057239354,0.2558558,0.00133526827266351
"6",6,0,0.75,8,0.75,1,1,6,0.2529588,0.00181906584817686,0.253784,0.00131209755734485
"7",6,0,0.75,8,0.75,1,1,7,0.2507786,0.00148612443623995,0.2517002,0.00100739652570802
"8",6,0,0.75,8,0.75,1,1,8,0.2491764,0.00114860047014082,0.2501416,0.000351159564852606
"9",6,0,0.75,8,0.75,1,1,9,0.2479358,0.00109985751804106,0.249014,0.000431655881456547
"10",6,0,0.75,8,0.75,1,1,10,0.2464618,0.0011638607133139,0.2477016,0.000361225469760575
"11",6,0,0.75,8,0.75,1,1,11,0.2455046,0.00106381814235412,0.246782,0.000573973866995861
"12",6,0,0.75,8,0.75,1,1,12,0.2442924,0.000923796644290783,0.2456712,0.000646055539408398
"13",6,0,0.75,8,0.75,1,1,13,0.2429744,0.000598940931978545,0.2444186,0.00123154351932808
"14",6,0,0.75,8,0.75,1,1,14,0.241812,0.000825943581612054,0.2433296,0.001141486329307
"15",6,0,0.75,8,0.75,1,1,15,0.2408834,0.000719575875085395,0.242485,0.00110068796668098
"16",6,0,0.75,8,0.75,1,1,16,0.2398218,0.000449344589375108,0.24146,0.00108181772956529
"17",6,0,0.75,8,0.75,1,1,17,0.2390348,0.000422237563468738,0.2406828,0.00117855138199509
"18",6,0,0.75,8,0.75,1,1,18,0.2382492,0.000667769541092331,0.2398988,0.000859807745956108
"19",6,0,0.75,8,0.75,1,1,19,0.2375954,0.000910153745250834,0.2392508,0.000696120219498213
"20",6,0,0.75,8,0.75,1,1,20,0.2366524,0.00100119840191467,0.2384238,0.000715353171524732
"21",6,0,0.75,8,0.75,1,1,21,0.2357502,0.00105765275965364,0.23761,0.00108119119493315
"22",6,0,0.75,8,0.75,1,1,22,0.2347846,0.001143461341721,0.2367688,0.00133598479033362
"23",6,0,0.75,8,0.75,1,1,23,0.23391,0.00142828498556746,0.2359738,0.00148002991861321
"24",6,0,0.75,8,0.75,1,1,24,0.2332824,0.00131090298649261,0.2354412,0.0014247480338645
"25",6,0,0.75,8,0.75,1,1,25,0.2325306,0.00108739056460574,0.234764,0.00125149143025377
"26",6,0,0.75,8,0.75,1,1,26,0.2319988,0.000876262837281468,0.2343254,0.00129349597602695
"27",6,0,0.75,8,0.75,1,1,27,0.2309242,0.000989123935610122,0.2333462,0.00143718257712813
"28",6,0,0.75,8,0.75,1,1,28,0.2297434,0.000998392027207932,0.2322356,0.00131767653086699
"29",6,0,0.75,8,0.75,1,1,29,0.2288986,0.00107085509757407,0.2314548,0.00159631292671557
"30",6,0,0.75,8,0.75,1,1,30,0.2282774,0.00116863691538446,0.2308374,0.00172560303662393
"31",6,0,0.75,8,0.75,1,1,31,0.2278882,0.00113565723702457,0.2304548,0.00169787177372029
"32",6,0,0.75,8,0.75,1,1,32,0.22736,0.000981746199380343,0.2299918,0.00171384519721189
"33",6,0,0.75,8,0.75,1,1,33,0.2268106,0.000996853168724267,0.229486,0.00175246546328431
"34",6,0,0.75,8,0.75,1,1,34,0.2262656,0.000874383577154487,0.2289616,0.00145420942095859
"35",6,0,0.75,8,0.75,1,1,35,0.225395,0.000910079556966303,0.228195,0.00174373885659485
"36",6,0,0.75,8,0.75,1,1,36,0.2249946,0.00078994875783832,0.2278188,0.00162437796094583
"37",6,0,0.75,8,0.75,1,1,37,0.2245452,0.000855415781943428,0.2273988,0.00163815071345485
"38",6,0,0.75,8,0.75,1,1,38,0.2240358,0.000730515270200494,0.2269528,0.00143322732320994
"39",6,0,0.75,8,0.75,1,1,39,0.2232802,0.000834633668146149,0.2263028,0.00159862233188497
"40",6,0,0.75,8,0.75,1,1,40,0.2226842,0.000835218869521378,0.2257336,0.00163664248997687
"41",6,0,0.75,8,0.75,1,1,41,0.2222604,0.000881547865974648,0.2253802,0.00175273025876705
"42",6,0,0.75,8,0.75,1,1,42,0.22164,0.000818091681902496,0.2247952,0.00160320908181084
"43",6,0,0.75,8,0.75,1,1,43,0.2209922,0.000708408187418406,0.2242552,0.00158629497887231
"44",6,0,0.75,8,0.75,1,1,44,0.2205944,0.000719955165270816,0.2239392,0.00164572019492966
"45",6,0,0.75,8,0.75,1,1,45,0.2200892,0.000657248020164902,0.223501,0.00161227900811118
"46",6,0,0.75,8,0.75,1,1,46,0.2196654,0.000641417679825021,0.2230846,0.00158850528485195
"47",6,0,0.75,8,0.75,1,1,47,0.2189788,0.00060657774439666,0.2224576,0.0015998018127266
"48",6,0,0.75,8,0.75,1,1,48,0.2185892,0.000542665421777208,0.2221496,0.00138865310283003
"49",6,0,0.75,8,0.75,1,1,49,0.2180768,0.000506094615655844,0.2216788,0.00135623897599168
"50",6,0,0.75,8,0.75,1,1,50,0.2176626,0.000545388155350848,0.2213374,0.00119765347242104
"51",6,0,0.75,8,0.75,1,1,51,0.217167,0.000640365520626854,0.2208968,0.00129376356418195
"52",6,0,0.75,8,0.75,1,1,52,0.2167304,0.000407110599230925,0.2205012,0.00109108393810618
"53",6,0,0.75,8,0.75,1,1,53,0.2163606,0.00036314107451098,0.2201826,0.00122098003259499
"54",6,0,0.75,8,0.75,1,1,54,0.2159092,0.000356031122239512,0.2197634,0.00118457209151742
"55",6,0,0.75,8,0.75,1,1,55,0.2155216,0.000451008026530123,0.2194766,0.00122217717209986
"56",6,0,0.75,8,0.75,1,1,56,0.2149814,0.00057157732635164,0.219064,0.00121050551423491
"57",6,0,0.75,8,0.75,1,1,57,0.2146456,0.000617494485806359,0.2187796,0.00130183095676884
"58",6,0,0.75,8,0.75,1,1,58,0.2143516,0.00067438078264685,0.2185172,0.00137291301982386
"59",6,0,0.75,8,0.75,1,1,59,0.2138892,0.000470274558104755,0.2181162,0.00130187639966103
"60",6,0,0.75,8,0.75,1,1,60,0.21349,0.000333497226387009,0.2177656,0.00117070245579345
"61",6,0,0.75,8,0.75,1,1,61,0.2128468,0.00031122621997781,0.2172524,0.000999554020548606
"62",6,0,0.75,8,0.75,1,1,62,0.2120748,0.000341626345583581,0.2165856,0.00103219428403992
"63",6,0,0.75,8,0.75,1,1,63,0.2116158,0.000402970668906375,0.2161584,0.00113053732357639
"64",6,0,0.75,8,0.75,1,1,64,0.2111502,0.000455113787959791,0.2157116,0.000953016180346839
"65",6,0,0.75,8,0.75,1,1,65,0.210806,0.000606093722127892,0.2153976,0.000971837352646332
"66",6,0,0.75,8,0.75,1,1,66,0.2104932,0.000720046498500861,0.2151088,0.00100746521528457
"67",6,0,0.75,8,0.75,1,1,67,0.2101446,0.000808868493639334,0.2148378,0.00115593691869857
"68",6,0,0.75,8,0.75,1,1,68,0.209759,0.000862905788598401,0.214551,0.00107209197367015
"69",6,0,0.75,8,0.75,1,1,69,0.2092874,0.000875988264759078,0.2141044,0.00122877493464005
"70",6,0,0.75,8,0.75,1,1,70,0.209089,0.000845570340069655,0.2139516,0.00125243069269564
"71",6,0,0.75,8,0.75,1,1,71,0.2087424,0.000856307328009814,0.2136438,0.00127762175936689
"72",6,0,0.75,8,0.75,1,1,72,0.2083936,0.000874870413259203,0.2133512,0.00130843500411573
"73",6,0,0.75,8,0.75,1,1,73,0.2079916,0.000749617662543373,0.2129956,0.00125173361383097
"74",6,0,0.75,8,0.75,1,1,74,0.207758,0.000795982663129177,0.2128256,0.0011704832506296
"75",6,0,0.75,8,0.75,1,1,75,0.2072972,0.000732801037114149,0.212392,0.00113349706660775
"76",6,0,0.75,8,0.75,1,1,76,0.2070306,0.000685057253085631,0.2121844,0.00116323507512747
"77",6,0,0.75,8,0.75,1,1,77,0.2065054,0.00073550434396914,0.211699,0.000995818256510086
"78",6,0,0.75,8,0.75,1,1,78,0.2062202,0.000822167720119303,0.211446,0.00102413397560913
"79",6,0,0.75,8,0.75,1,1,79,0.2058098,0.000764654013260995,0.211098,0.00105896779931938
"80",6,0,0.75,8,0.75,1,1,80,0.2054872,0.000882327240877826,0.210842,0.000998732196335992
"81",8,0,0.75,8,0.75,1,1,1,0.335261,0.00552250971932346,0.3356568,0.00542634777359696
"82",8,0,0.75,8,0.75,1,1,2,0.2723676,0.00268840842135353,0.2731742,0.00260441589612776
"83",8,0,0.75,8,0.75,1,1,3,0.2551744,0.0016488464573789,0.2563,0.00143069563500061
"84",8,0,0.75,8,0.75,1,1,4,0.2505276,0.00194620847803835,0.2517578,0.00137280798365853
"85",8,0,0.75,8,0.75,1,1,5,0.247904,0.00180139312755359,0.2492428,0.00140391429938049
"86",8,0,0.75,8,0.75,1,1,6,0.2448462,0.00144599327799133,0.2463044,0.00103227798581306
"87",8,0,0.75,8,0.75,1,1,7,0.2426494,0.00182044660454736,0.2442452,0.00143044516147896
"88",8,0,0.75,8,0.75,1,1,8,0.240697,0.00196893433105477,0.2423602,0.0016246078172911
"89",8,0,0.75,8,0.75,1,1,9,0.2393954,0.00204891489330181,0.2411082,0.00179136689709487
"90",8,0,0.75,8,0.75,1,1,10,0.237429,0.00175840143312052,0.2394218,0.00130768825031245
"91",8,0,0.75,8,0.75,1,1,11,0.2359422,0.00214191702920632,0.2380306,0.00157076040184155
"92",8,0,0.75,8,0.75,1,1,12,0.2341054,0.00204925875379384,0.236376,0.00152258030986646
"93",8,0,0.75,8,0.75,1,1,13,0.2330726,0.00200403728508168,0.2354756,0.00156434978185605
