"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std","model"
"47",12,0,0.5,1,0.5,0,1,"hist",47,0.1355258,0.00233436538699498,0.1788648,0.00261353395998628,1
"48",12,0,0.5,1,0.5,0,1,"hist",48,0.1348198,0.00230503669385119,0.1787846,0.00254728652491165,1
"49",12,0,0.5,1,0.5,0,1,"hist",49,0.1341746,0.00217442558851747,0.1784594,0.00247247031124759,1
"50",12,0,0.5,1,0.5,0,1,"hist",50,0.133555,0.00223939777618885,0.1783066,0.00242061782195982,1
"51",12,0,0.5,1,0.5,0,1,"hist",51,0.1327718,0.00198223262005204,0.178008,0.00245508240187578,1
"52",12,0,0.5,1,0.5,0,1,"hist",52,0.132287,0.00186584286583919,0.1781598,0.00221814060870749,1
"53",12,0,0.5,1,0.5,0,1,"hist",53,0.1316256,0.00180536119377775,0.1782256,0.00231606205443716,1
"54",12,0,0.5,1,0.5,0,1,"hist",54,0.1306574,0.00201185910043402,0.1779332,0.0023964304621662,1
"55",12,0,0.5,1,0.5,0,1,"hist",55,0.1299828,0.00186963091544779,0.1778032,0.00226682115748011,1
"56",12,0,0.5,1,0.5,0,1,"hist",56,0.1292738,0.00184912318681137,0.1776928,0.00219899035013765,1
"57",12,0,0.5,1,0.5,0,1,"hist",57,0.1287834,0.00171126299556811,0.1778162,0.00231112486897521,1
"58",12,0,0.5,1,0.5,0,1,"hist",58,0.1280164,0.00141070572409551,0.1776594,0.00221679476722583,1
"59",12,0,0.5,1,0.5,0,1,"hist",59,0.1273096,0.00170065112236508,0.177927,0.00238790653083423,1
"60",12,0,0.5,1,0.5,0,1,"hist",60,0.1268466,0.00165046546161974,0.1778236,0.00236585380782519,1
"61",12,0,0.5,1,0.5,0,1,"hist",61,0.1261102,0.00130450563816161,0.177904,0.00241149804063664,1
"62",12,0,0.5,1,0.5,0,1,"hist",62,0.1253854,0.00132847560760368,0.1773834,0.00249081067927814,1
"63",12,0,0.5,1,0.5,0,1,"hist",63,0.125003,0.00133091472303915,0.17744,0.00247676506758314,1
"64",12,0,0.5,1,0.5,0,1,"hist",64,0.124413,0.0014396977460573,0.1774402,0.0023379311709296,1
"65",12,0,0.5,1,0.5,0,1,"hist",65,0.1239376,0.00130396527561125,0.177497,0.00208974601327449,1
"66",12,0,0.5,1,0.5,0,1,"hist",66,0.1234884,0.00139830749121863,0.1775592,0.00214512753933183,1
"67",12,0,0.5,1,0.5,0,1,"hist",67,0.1229788,0.00136996487546183,0.177341,0.0020666796558732,1
"68",12,0,0.5,1,0.5,0,1,"hist",68,0.1225262,0.00150357818552968,0.1774646,0.00209885593598093,1
"69",12,0,0.5,1,0.5,0,1,"hist",69,0.1219556,0.00142872552997433,0.1772886,0.00197748988366761,1
"70",12,0,0.5,1,0.5,0,1,"hist",70,0.1213298,0.00158822207515202,0.177394,0.00207231966646005,1
"71",12,0,0.5,1,0.5,0,1,"hist",71,0.1207136,0.00127578973189082,0.1772204,0.00203655224337658,1
"72",12,0,0.5,1,0.5,0,1,"hist",72,0.1202874,0.00121101223775781,0.1770826,0.00203780122681156,1
"73",12,0,0.5,1,0.5,0,1,"hist",73,0.1197546,0.00126696907618152,0.1770846,0.00191890683463057,1
"74",12,0,0.5,1,0.5,0,1,"hist",74,0.1193398,0.00107140084002246,0.17698,0.00185859258580265,1
"75",12,0,0.5,1,0.5,0,1,"hist",75,0.1188242,0.00084333656389342,0.1770278,0.00171657663970982,1
"76",12,0,0.5,1,0.5,0,1,"hist",76,0.1182656,0.000898420079918453,0.1769434,0.00172207753600292,1
"77",12,0,0.5,1,0.5,0,1,"hist",77,0.1176594,0.000830405828495755,0.1768436,0.00171802661213543,1
"78",12,0,0.5,1,0.5,0,1,"hist",78,0.1171712,0.00109567319945266,0.1769558,0.00179026471785696,1
"79",12,0,0.5,1,0.5,0,1,"hist",79,0.116745,0.00127954257451629,0.1768982,0.00187097540336559,1
"80",12,0,0.5,1,0.5,0,1,"hist",80,0.1162916,0.00125785445898942,0.1769622,0.00173650066513121,1
"81",12,0.1,0.5,1,0.5,0,1,"hist",1,0.2671452,0.00762984501546445,0.2713328,0.0070670711726995,2
"82",12,0.1,0.5,1,0.5,0,1,"hist",2,0.23789,0.00443577073348088,0.2440574,0.00463945331262175,2
"83",12,0.1,0.5,1,0.5,0,1,"hist",3,0.2274194,0.00499852020502119,0.2349462,0.00558410531419351,2
"84",12,0.1,0.5,1,0.5,0,1,"hist",4,0.220333,0.00423508946776863,0.2289454,0.00475733137798962,2
"85",12,0.1,0.5,1,0.5,0,1,"hist",5,0.214668,0.00312336683724466,0.2240848,0.00380007249404591,2
"86",12,0.1,0.5,1,0.5,0,1,"hist",6,0.2093454,0.00175895384817029,0.2198972,0.00245416848647562,2
"87",12,0.1,0.5,1,0.5,0,1,"hist",7,0.2041236,0.00242449529593152,0.215587,0.00245161579371662,2
"88",12,0.1,0.5,1,0.5,0,1,"hist",8,0.1975694,0.00411343217277246,0.210411,0.00342783010080629,2
"89",12,0.1,0.5,1,0.5,0,1,"hist",9,0.193699,0.00440472133057255,0.2071684,0.00358633387179636,2
"90",12,0.1,0.5,1,0.5,0,1,"hist",10,0.1910884,0.00471742652724982,0.2055214,0.00382929009608841,2
"91",12,0.1,0.5,1,0.5,0,1,"hist",11,0.1885514,0.00416267027759835,0.2033772,0.00371674870821182,2
"92",12,0.1,0.5,1,0.5,0,1,"hist",12,0.1862794,0.0040691210648002,0.2019382,0.00353497900418025,2
"93",12,0.1,0.5,1,0.5,0,1,"hist",13,0.1837092,0.0050025562025824,0.200175,0.00402269824868871,2
