"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","alpha","lamda","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std","model"
"52",12,0.2,1,1,1,4,1,"hist",0,0,52,0.1030546,0.0018899477876386,0.1546168,0.000807689395745789,1
"53",12,0.2,1,1,1,4,1,"hist",0,0,53,0.1025122,0.00190798264143079,0.1544626,0.00090477568490538,1
"54",12,0.2,1,1,1,4,1,"hist",0,0,54,0.1017802,0.00219889621401268,0.1541468,0.000980739802394914,1
"55",12,0.2,1,1,1,4,1,"hist",0,0,55,0.101308,0.00230629876642229,0.154108,0.000960038124244885,1
"56",12,0.2,1,1,1,4,1,"hist",0,0,56,0.100855,0.00228111542890733,0.1540236,0.00098390214960473,1
"57",12,0.2,1,1,1,4,1,"hist",0,0,57,0.1003668,0.0026132528695093,0.15395,0.00101804066716381,1
"58",12,0.2,1,1,1,4,1,"hist",0,0,58,0.0997514,0.00276079485655845,0.153701,0.00127360606154294,1
"59",12,0.2,1,1,1,4,1,"hist",0,0,59,0.0989662,0.00253624678609905,0.1536212,0.00143793315560846,1
"60",12,0.2,1,1,1,4,1,"hist",0,0,60,0.0983194,0.00246117391502515,0.1536014,0.00141655421357487,1
"61",12,0.2,1,1,1,4,1,"hist",0,0,61,0.0977066,0.00238804309843869,0.1534028,0.00146016470303902,1
"62",12,0.2,1,1,1,4,1,"hist",0,0,62,0.0971054,0.00207815346882771,0.15327,0.0015176037691056,1
"63",12,0.2,1,1,1,4,1,"hist",0,0,63,0.0965326,0.00182382944378042,0.1531428,0.00159253752232019,1
"64",12,0.2,1,1,1,4,1,"hist",0,0,64,0.0959938,0.00174924113832249,0.153081,0.00146953148996519,1
"65",12,0.2,1,1,1,4,1,"hist",0,0,65,0.0954736,0.00177520664712576,0.1529712,0.00142098112584157,1
"66",12,0.2,1,1,1,4,1,"hist",0,0,66,0.0947012,0.00148243076060888,0.152547,0.00140336353095087,1
"67",12,0.2,1,1,1,4,1,"hist",0,0,67,0.0940854,0.00147339887335366,0.1523072,0.00137389612416506,1
"68",12,0.2,1,1,1,4,1,"hist",0,0,68,0.0936398,0.00154007550464291,0.152229,0.00148832684582389,1
"69",12,0.2,1,1,1,4,1,"hist",0,0,69,0.0932488,0.0016068525010087,0.1522116,0.00146603964475651,1
"70",12,0.2,1,1,1,4,1,"hist",0,0,70,0.0929,0.00146420736236385,0.1521348,0.00143062747072913,1
"71",12,0.2,1,1,1,4,1,"hist",0,0,71,0.0922954,0.00141876983334163,0.1519266,0.00134941551791978,1
"72",12,0.2,1,1,1,4,1,"hist",0,0,72,0.0918968,0.0014097939423896,0.1518666,0.00140909199131854,1
"73",12,0.2,1,1,1,4,1,"hist",0,0,73,0.0916284,0.00137922044648426,0.1518262,0.0013984368988282,1
"74",12,0.2,1,1,1,4,1,"hist",0,0,74,0.0912762,0.00124393527162855,0.1517134,0.00137716427487847,1
"75",12,0.2,1,1,1,4,1,"hist",0,0,75,0.0910078,0.00112860735421984,0.1516148,0.00135646797234587,1
"76",12,0.2,1,1,1,4,1,"hist",0,0,76,0.0904092,0.00141351921104778,0.1516294,0.00151945024268696,1
"77",12,0.2,1,1,1,4,1,"hist",0,0,77,0.0898434,0.00135188839776018,0.1515918,0.00152233588934916,1
"78",12,0.2,1,1,1,4,1,"hist",0,0,78,0.0893716,0.00134786135785562,0.1514492,0.0015797463593876,1
"79",12,0.2,1,1,1,4,1,"hist",0,0,79,0.0889716,0.00137218724669847,0.1513862,0.00146357280652539,1
"80",12,0.2,1,1,1,4,1,"hist",0,0,80,0.0887516,0.00136685296941542,0.1514028,0.00147868095274189,1
"81",12,0.5,1,1,1,4,1,"hist",0,0,1,0.2495232,0.000398926258848207,0.2543192,0.000427189138434898,2
"82",12,0.5,1,1,1,4,1,"hist",0,0,2,0.2226116,0.00101854731849267,0.230226,0.00135015317649765,2
"83",12,0.5,1,1,1,4,1,"hist",0,0,3,0.2135834,0.00171428359380831,0.2224334,0.00199581608371157,2
"84",12,0.5,1,1,1,4,1,"hist",0,0,4,0.208186,0.0018211860970263,0.2181882,0.00182633462432258,2
"85",12,0.5,1,1,1,4,1,"hist",0,0,5,0.2010032,0.0013091037239275,0.2121756,0.00171991274197317,2
"86",12,0.5,1,1,1,4,1,"hist",0,0,6,0.1957024,0.00121644935776027,0.2080502,0.00167400327359315,2
"87",12,0.5,1,1,1,4,1,"hist",0,0,7,0.1919538,0.000998358132134361,0.205011,0.00159625712214499,2
"88",12,0.5,1,1,1,4,1,"hist",0,0,8,0.1881736,0.000471175805840132,0.2019628,0.000868310405328978,2
"89",12,0.5,1,1,1,4,1,"hist",0,0,9,0.1843092,0.00314720202084296,0.1991922,0.00188173881290517,2
"90",12,0.5,1,1,1,4,1,"hist",0,0,10,0.1802164,0.00276416523384577,0.1959534,0.0019020609453955,2
"91",12,0.5,1,1,1,4,1,"hist",0,0,11,0.1760258,0.00100530580421962,0.1930312,0.00106184545015162,2
"92",12,0.5,1,1,1,4,1,"hist",0,0,12,0.1729292,0.00248793371294264,0.1907068,0.0022424983745797,2
"93",12,0.5,1,1,1,4,1,"hist",0,0,13,0.1698178,0.00354572268515213,0.1884566,0.00305702002610348,2
"94",12,0.5,1,1,1,4,1,"hist",0,0,14,0.1667114,0.0042112946512916,0.186339,0.00357236857000999,2
"95",12,0.5,1,1,1,4,1,"hist",0,0,15,0.1626092,0.0052009609265979,0.1833558,0.00478682510229966,2
"96",12,0.5,1,1,1,4,1,"hist",0,0,16,0.158564,0.00464425688350633,0.1803828,0.00393126231126801,2
"97",12,0.5,1,1,1,4,1,"hist",0,0,17,0.154638,0.0055523406235569,0.1777546,0.00416682865498507,2
"98",12,0.5,1,1,1,4,1,"hist",0,0,18,0.1514,0.00548185355513985,0.175583,0.00394466490338576,2
"99",12,0.5,1,1,1,4,1,"hist",0,0,19,0.1484628,0.00693057943897882,0.1735322,0.00531015967368216,2
"100",12,0.5,1,1,1,4,1,"hist",0,0,20,0.1458132,0.00689570426860059,0.1720416,0.00533233692108779,2
"101",12,0.5,1,1,1,4,1,"hist",0,0,21,0.1440154,0.00651410551342254,0.1710448,0.0051079193180786,2
"102",12,0.5,1,1,1,4,1,"hist",0,0,22,0.1424258,0.00650815655619931,0.1698896,0.00483376683757107,2
"103",12,0.5,1,1,1,4,1,"hist",0,0,23,0.1397766,0.00560083988701679,0.1685186,0.00430051678755039,2
"104",12,0.5,1,1,1,4,1,"hist",0,0,24,0.1373638,0.00488689645480627,0.1669526,0.00381316491119894,2
"105",12,0.5,1,1,1,4,1,"hist",0,0,25,0.1352672,0.00437817182851434,0.165927,0.00337572481105879,2
"106",12,0.5,1,1,1,4,1,"hist",0,0,26,0.133475,0.00423028523860952,0.1650024,0.00319613858272789,2
"107",12,0.5,1,1,1,4,1,"hist",0,0,27,0.1316814,0.00426812551830401,0.1640382,0.00317264031368252,2
"108",12,0.5,1,1,1,4,1,"hist",0,0,28,0.130199,0.00414987648008899,0.1631586,0.00307153854607172,2
"109",12,0.5,1,1,1,4,1,"hist",0,0,29,0.1289998,0.00397897360634599,0.162621,0.00303704685508911,2
"110",12,0.5,1,1,1,4,1,"hist",0,0,30,0.127796,0.00388112906252786,0.1620786,0.00334007021483099,2
"111",12,0.5,1,1,1,4,1,"hist",0,0,31,0.1268776,0.00392333320532437,0.1617776,0.00316625504973966,2
"112",12,0.5,1,1,1,4,1,"hist",0,0,32,0.1252904,0.0036457418230041,0.1610246,0.00289550234674324,2
"113",12,0.5,1,1,1,4,1,"hist",0,0,33,0.124165,0.00325578230230479,0.1606124,0.00305323242482494,2
"114",12,0.5,1,1,1,4,1,"hist",0,0,34,0.1234096,0.00353821619463837,0.160397,0.00320091380702464,2
"115",12,0.5,1,1,1,4,1,"hist",0,0,35,0.122567,0.00310277456480513,0.1599422,0.00290627331130385,2
"116",12,0.5,1,1,1,4,1,"hist",0,0,36,0.1211998,0.00259505324800841,0.1593044,0.0024947824434202,2
"117",12,0.5,1,1,1,4,1,"hist",0,0,37,0.1202782,0.00218832249908437,0.1587696,0.00224193243430682,2
"118",12,0.5,1,1,1,4,1,"hist",0,0,38,0.118876,0.00187471363146533,0.1581956,0.00219251459288211,2
"119",12,0.5,1,1,1,4,1,"hist",0,0,39,0.1181202,0.00171761013038438,0.1578848,0.00207356575974909,2
"120",12,0.5,1,1,1,4,1,"hist",0,0,40,0.1174778,0.00152122929238225,0.1577078,0.00210393406740648,2
"121",12,0.5,1,1,1,4,1,"hist",0,0,41,0.1162872,0.00175907377900956,0.1574486,0.00219381426743542,2
"122",12,0.5,1,1,1,4,1,"hist",0,0,42,0.1152826,0.00221117973941536,0.1571496,0.00248359808342616,2
"123",12,0.5,1,1,1,4,1,"hist",0,0,43,0.1141056,0.00229684937250974,0.1569984,0.00245651253609641,2
"124",12,0.5,1,1,1,4,1,"hist",0,0,44,0.112866,0.00238382574866559,0.1563218,0.00259151935358367,2
"125",12,0.5,1,1,1,4,1,"hist",0,0,45,0.1123366,0.00222072597138907,0.1562518,0.00267387459691047,2
"126",12,0.5,1,1,1,4,1,"hist",0,0,46,0.1112054,0.00220115665957709,0.1558868,0.00255665026157368,2
"127",12,0.5,1,1,1,4,1,"hist",0,0,47,0.1101288,0.00195717361519089,0.1555404,0.00258141671180771,2
"128",12,0.5,1,1,1,4,1,"hist",0,0,48,0.1089652,0.00164029868011898,0.1549642,0.00245749810986724,2
"129",12,0.5,1,1,1,4,1,"hist",0,0,49,0.1081742,0.00120114701847895,0.1547032,0.00222936864605314,2
"130",12,0.5,1,1,1,4,1,"hist",0,0,50,0.1072768,0.00129183426181437,0.1545096,0.00236824378812607,2
"131",12,0.5,1,1,1,4,1,"hist",0,0,51,0.106157,0.00160939963961686,0.1543032,0.00239947472585121,2
"132",12,0.5,1,1,1,4,1,"hist",0,0,52,0.1051358,0.0018140123924604,0.1540558,0.00231253924507305,2
"133",12,0.5,1,1,1,4,1,"hist",0,0,53,0.1042786,0.00202043704182999,0.153817,0.00238389303451318,2
"134",12,0.5,1,1,1,4,1,"hist",0,0,54,0.1037802,0.00210717416460985,0.1538156,0.00243274179476535,2
"135",12,0.5,1,1,1,4,1,"hist",0,0,55,0.1033748,0.00211249685443505,0.1535412,0.00239565368114961,2
"136",12,0.5,1,1,1,4,1,"hist",0,0,56,0.102599,0.00225944214353888,0.1532034,0.00256362029949881,2
"137",12,0.5,1,1,1,4,1,"hist",0,0,57,0.1020718,0.00207496172494839,0.1528706,0.00259834690524681,2
"138",12,0.5,1,1,1,4,1,"hist",0,0,58,0.1015592,0.00218491165954141,0.1526374,0.00270621415264941,2
"139",12,0.5,1,1,1,4,1,"hist",0,0,59,0.1012638,0.00206648875148122,0.1526094,0.00275741745841903,2
"140",12,0.5,1,1,1,4,1,"hist",0,0,60,0.1007066,0.0017734791343574,0.1523644,0.00275715756531938,2
"141",12,0.5,1,1,1,4,1,"hist",0,0,61,0.0998968,0.00152939470379651,0.1522024,0.00255816642148236,2
"142",12,0.5,1,1,1,4,1,"hist",0,0,62,0.0995198,0.00148211030628649,0.1521864,0.00254956753979954,2
"143",12,0.5,1,1,1,4,1,"hist",0,0,63,0.0988644,0.00131747282324878,0.1520274,0.00258751452942783,2
"144",12,0.5,1,1,1,4,1,"hist",0,0,64,0.0983142,0.00138577305501283,0.1519208,0.00255088701435455,2
"145",12,0.5,1,1,1,4,1,"hist",0,0,65,0.0976828,0.000972401439735618,0.151841,0.00254758308991079,2
"146",12,0.5,1,1,1,4,1,"hist",0,0,66,0.0971836,0.000640205467017166,0.151885,0.00251946478443389,2
"147",12,0.5,1,1,1,4,1,"hist",0,0,67,0.0966074,0.000589979864064133,0.1517136,0.00261264659684354,2
"148",12,0.5,1,1,1,4,1,"hist",0,0,68,0.0959124,0.000458827026232906,0.151526,0.00261990602884873,2
"149",12,0.5,1,1,1,4,1,"hist",0,0,69,0.0953558,0.00046510532140375,0.1514312,0.00258026474610721,2
"150",12,0.5,1,1,1,4,1,"hist",0,0,70,0.0950786,0.000430196513236585,0.1514222,0.00245709156524458,2
"151",12,0.5,1,1,1,4,1,"hist",0,0,71,0.0947692,0.000392492241961406,0.1513338,0.00245643891843535,2
"152",12,0.5,1,1,1,4,1,"hist",0,0,72,0.0944832,0.000394107802510739,0.15129,0.00244755028548904,2
"153",12,0.5,1,1,1,4,1,"hist",0,0,73,0.0940612,0.000396819555970521,0.1512066,0.00242263753789234,2
"154",12,0.5,1,1,1,4,1,"hist",0,0,74,0.0936466,0.000646108535775112,0.1510126,0.00234078846545365,2
"155",12,0.5,1,1,1,4,1,"hist",0,0,75,0.0932608,0.000687167344974383,0.1509674,0.00236988730533766,2
"156",12,0.5,1,1,1,4,1,"hist",0,0,76,0.0929322,0.000672981247881847,0.1510594,0.00231337715040041,2
"157",12,0.5,1,1,1,4,1,"hist",0,0,77,0.092399,0.00071586283602485,0.150959,0.00230632773039704,2
"158",12,0.5,1,1,1,4,1,"hist",0,0,78,0.0919974,0.000824588285147057,0.1509124,0.00241429009027496,2
"159",12,0.5,1,1,1,4,1,"hist",0,0,79,0.0916686,0.000704602185632439,0.150862,0.00236904833213742,2
"160",12,0.5,1,1,1,4,1,"hist",0,0,80,0.0912842,0.000563344086683875,0.1507352,0.00232935007244454,2
"161",12,0.8,1,1,1,4,1,"hist",0,0,1,0.2496178,0.000328704974108993,0.2544322,0.000778095726750925,3
"162",12,0.8,1,1,1,4,1,"hist",0,0,2,0.2226062,0.000764776934794493,0.2302884,0.00103409295520215,3
"163",12,0.8,1,1,1,4,1,"hist",0,0,3,0.2137484,0.000869746307838423,0.2227958,0.000847033269715409,3
"164",12,0.8,1,1,1,4,1,"hist",0,0,4,0.2081346,0.00102763896383702,0.2181888,0.0011259638360122,3
"165",12,0.8,1,1,1,4,1,"hist",0,0,5,0.2007056,0.00211622953386331,0.211926,0.00224264870187099,3
"166",12,0.8,1,1,1,4,1,"hist",0,0,6,0.1955672,0.00204406217126568,0.2080554,0.002268845750596,3
"167",12,0.8,1,1,1,4,1,"hist",0,0,7,0.1909858,0.00408460844635,0.2041336,0.00366064817211477,3
"168",12,0.8,1,1,1,4,1,"hist",0,0,8,0.1881748,0.00406295416661347,0.2018442,0.00349032063856496,3
"169",12,0.8,1,1,1,4,1,"hist",0,0,9,0.1843102,0.00473972545196375,0.198851,0.00383678777104021,3
"170",12,0.8,1,1,1,4,1,"hist",0,0,10,0.18019,0.00414209729484971,0.1956534,0.00334097815616851,3
"171",12,0.8,1,1,1,4,1,"hist",0,0,11,0.1765594,0.00458532269747715,0.1929738,0.00359742221041675,3
"172",12,0.8,1,1,1,4,1,"hist",0,0,12,0.173024,0.00521886205987438,0.1900404,0.0043441929331001,3
"173",12,0.8,1,1,1,4,1,"hist",0,0,13,0.169675,0.00419189909229668,0.1877752,0.00388256489449935,3
"174",12,0.8,1,1,1,4,1,"hist",0,0,14,0.1663556,0.00359528644755926,0.185507,0.00345717618874106,3
"175",12,0.8,1,1,1,4,1,"hist",0,0,15,0.1623688,0.00378152341788335,0.1832546,0.00356641010541387,3
"176",12,0.8,1,1,1,4,1,"hist",0,0,16,0.1586564,0.00384482845391039,0.180876,0.00407298480232781,3
"177",12,0.8,1,1,1,4,1,"hist",0,0,17,0.155044,0.00309031487068922,0.1784352,0.00320697847825621,3
"178",12,0.8,1,1,1,4,1,"hist",0,0,18,0.151219,0.0033853722395034,0.1762022,0.00323714920261621,3
"179",12,0.8,1,1,1,4,1,"hist",0,0,19,0.1478714,0.00334486583288453,0.1741106,0.00333286600990807,3
"180",12,0.8,1,1,1,4,1,"hist",0,0,20,0.145631,0.00281620610041206,0.1726746,0.00266259284157354,3
"181",12,0.8,1,1,1,4,1,"hist",0,0,21,0.1432682,0.00311228516688287,0.1716028,0.00285253679380329,3
"182",12,0.8,1,1,1,4,1,"hist",0,0,22,0.1414374,0.00323451230326994,0.170163,0.00282556479309815,3
"183",12,0.8,1,1,1,4,1,"hist",0,0,23,0.1389136,0.0030708265727652,0.1682702,0.00228254098758325,3
"184",12,0.8,1,1,1,4,1,"hist",0,0,24,0.1364834,0.00273893326680275,0.1669898,0.0016784232362553,3
"185",12,0.8,1,1,1,4,1,"hist",0,0,25,0.1350628,0.00216923262007553,0.1661068,0.00141399694483431,3
"186",12,0.8,1,1,1,4,1,"hist",0,0,26,0.1334352,0.00162617912912402,0.1653202,0.00124701730541413,3
"187",12,0.8,1,1,1,4,1,"hist",0,0,27,0.1320294,0.00120255238555431,0.1649622,0.00129614727558141,3
"188",12,0.8,1,1,1,4,1,"hist",0,0,28,0.1302778,0.00126401572775047,0.1639442,0.0015923225050199,3
"189",12,0.8,1,1,1,4,1,"hist",0,0,29,0.1283922,0.00207082373948204,0.1632006,0.00167791472965608,3
"190",12,0.8,1,1,1,4,1,"hist",0,0,30,0.1271334,0.00233404760876871,0.162828,0.00149754479064783,3
"191",12,0.8,1,1,1,4,1,"hist",0,0,31,0.1264088,0.00204227465342074,0.1627504,0.00155738532162193,3
"192",12,0.8,1,1,1,4,1,"hist",0,0,32,0.125119,0.00228217536574198,0.1621632,0.00131022569048079,3
"193",12,0.8,1,1,1,4,1,"hist",0,0,33,0.1241622,0.00205820498493217,0.161694,0.00140399216522031,3
"194",12,0.8,1,1,1,4,1,"hist",0,0,34,0.1231216,0.00195422921889932,0.1611046,0.00128178291453576,3
"195",12,0.8,1,1,1,4,1,"hist",0,0,35,0.1222372,0.0019570244147685,0.1605794,0.00141128177200645,3
"196",12,0.8,1,1,1,4,1,"hist",0,0,36,0.1210794,0.00191458701552035,0.1601548,0.00154623405731332,3
"197",12,0.8,1,1,1,4,1,"hist",0,0,37,0.1198464,0.00191188102140326,0.159685,0.00179251354248732,3
"198",12,0.8,1,1,1,4,1,"hist",0,0,38,0.1187792,0.00180666813776058,0.1593542,0.00191442099863051,3
"199",12,0.8,1,1,1,4,1,"hist",0,0,39,0.1179676,0.00146471602708456,0.1588734,0.00172265987356776,3
"200",12,0.8,1,1,1,4,1,"hist",0,0,40,0.1167102,0.00118215961697251,0.158167,0.00184043081912842,3
"201",12,0.8,1,1,1,4,1,"hist",0,0,41,0.1157352,0.00127392329439468,0.1576234,0.00194884351347149,3
"202",12,0.8,1,1,1,4,1,"hist",0,0,42,0.1144676,0.00126575283527203,0.1573626,0.00188457492289363,3
"203",12,0.8,1,1,1,4,1,"hist",0,0,43,0.1133916,0.00101084174824677,0.1568318,0.00168273044781481,3
"204",12,0.8,1,1,1,4,1,"hist",0,0,44,0.112346,0.00117703559844154,0.1563146,0.00164573297955607,3
"205",12,0.8,1,1,1,4,1,"hist",0,0,45,0.111509,0.00110205607842853,0.1558492,0.00146897765810123,3
"206",12,0.8,1,1,1,4,1,"hist",0,0,46,0.110621,0.00130183931420125,0.155553,0.00140849522540916,3
"207",12,0.8,1,1,1,4,1,"hist",0,0,47,0.1099664,0.00130861707156768,0.1551366,0.00151583925269047,3
"208",12,0.8,1,1,1,4,1,"hist",0,0,48,0.1095662,0.00139971059865912,0.1548884,0.0016173713982882,3
"209",12,0.8,1,1,1,4,1,"hist",0,0,49,0.109005,0.00157570339848593,0.1546972,0.0016715235445542,3
"210",12,0.8,1,1,1,4,1,"hist",0,0,50,0.1085412,0.00179657155716088,0.1545212,0.00168541346855863,3
"211",12,0.8,1,1,1,4,1,"hist",0,0,51,0.1081028,0.0018714553053708,0.1543566,0.00165280871246424,3
"212",12,0.8,1,1,1,4,1,"hist",0,0,52,0.1075986,0.00157000797450152,0.15418,0.00161672471373357,3
"213",12,0.8,1,1,1,4,1,"hist",0,0,53,0.1071542,0.00154216904391139,0.1540336,0.00148217793803621,3
"214",12,0.8,1,1,1,4,1,"hist",0,0,54,0.1065912,0.00156270360593396,0.153796,0.00148927055970485,3
"215",12,0.8,1,1,1,4,1,"hist",0,0,55,0.1056774,0.00127273305920716,0.1534286,0.00113118939174665,3
"216",12,0.8,1,1,1,4,1,"hist",0,0,56,0.1050324,0.000933919825252552,0.1534092,0.000889996719096296,3
"217",12,0.8,1,1,1,4,1,"hist",0,0,57,0.104509,0.000610341543726829,0.153253,0.000837775865014026,3
"218",12,0.8,1,1,1,4,1,"hist",0,0,58,0.1039716,0.000392792362450841,0.1530634,0.000664297704347181,3
"219",12,0.8,1,1,1,4,1,"hist",0,0,59,0.103283,0.000664414629580133,0.1527828,0.00055260597173908,3
"220",12,0.8,1,1,1,4,1,"hist",0,0,60,0.1028828,0.00100417436732878,0.1527342,0.000592432072052791,3
"221",12,0.8,1,1,1,4,1,"hist",0,0,61,0.102421,0.00124887501376223,0.152494,0.000549067573259893,3
"222",12,0.8,1,1,1,4,1,"hist",0,0,62,0.1022216,0.00120565709884732,0.1524488,0.000548536744442239,3
"223",12,0.8,1,1,1,4,1,"hist",0,0,63,0.1020334,0.00120235146275945,0.1524186,0.000577210394918723,3
"224",12,0.8,1,1,1,4,1,"hist",0,0,64,0.1016366,0.00106931615530675,0.1523878,0.000646997496133652,3
"225",12,0.8,1,1,1,4,1,"hist",0,0,65,0.1013974,0.00111110640354622,0.1522742,0.000609481550171851,3
"226",12,0.8,1,1,1,4,1,"hist",0,0,66,0.101097,0.00100886411374416,0.1521712,0.000593070451125246,3
