"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"52",2,0,1,1,1,0,1,"hist",52,0.2422642,0.00024581082157519,0.24328,0.00138513493927459
"53",2,0,1,1,1,0,1,"hist",53,0.24205,0.000161794931927428,0.2431092,0.00140905491731177
"54",2,0,1,1,1,0,1,"hist",54,0.2416858,0.000220875892771577,0.2428204,0.00132353021877325
"55",2,0,1,1,1,0,1,"hist",55,0.241512,0.000287274085149445,0.2426554,0.00132589706991278
"56",2,0,1,1,1,0,1,"hist",56,0.2413058,0.000303795589179948,0.2424752,0.00149343354723219
"57",2,0,1,1,1,0,1,"hist",57,0.241044,0.000323051698648481,0.242223,0.00141540227497265
"58",2,0,1,1,1,0,1,"hist",58,0.2407868,0.000248466818704598,0.2419498,0.00140867134563119
"59",2,0,1,1,1,0,1,"hist",59,0.2405728,0.000260614197611641,0.2417782,0.00134264148602892
"60",2,0,1,1,1,0,1,"hist",60,0.2401796,0.000281036367764444,0.2413472,0.0014032635390386
"61",2,0,1,1,1,0,1,"hist",61,0.2399334,0.00030333651281493,0.2411576,0.00141894053433982
"62",2,0,1,1,1,0,1,"hist",62,0.2397192,0.000334500463374611,0.2409928,0.001425265364765
"63",2,0,1,1,1,0,1,"hist",63,0.2395434,0.000345655666818136,0.2408116,0.00135561537317853
"64",2,0,1,1,1,0,1,"hist",64,0.2393578,0.000378741283719536,0.2406016,0.00140584360438845
"65",2,0,1,1,1,0,1,"hist",65,0.239262,0.000409476250830553,0.2404698,0.00138092453088216
"66",2,0,1,1,1,0,1,"hist",66,0.2391342,0.000384055933431852,0.2403786,0.00134183241874721
"67",2,0,1,1,1,0,1,"hist",67,0.2389656,0.000438518688318571,0.2402114,0.00129084911589558
"68",2,0,1,1,1,0,1,"hist",68,0.238809,0.00043727108296615,0.2400842,0.0012884833565089
"69",2,0,1,1,1,0,1,"hist",69,0.2385506,0.000419333566507794,0.2398616,0.00117555256794379
"70",2,0,1,1,1,0,1,"hist",70,0.2382648,0.000381466328784301,0.2395764,0.00125529241215269
"71",2,0,1,1,1,0,1,"hist",71,0.2380756,0.000452911735327191,0.2394388,0.00127617575591982
"72",2,0,1,1,1,0,1,"hist",72,0.2378856,0.000431213914428666,0.2392382,0.00127006163629579
"73",2,0,1,1,1,0,1,"hist",73,0.2377594,0.000462914074105623,0.2391078,0.00133538255193029
"74",2,0,1,1,1,0,1,"hist",74,0.2375726,0.000492419983349295,0.2389674,0.0012588290749737
"75",2,0,1,1,1,0,1,"hist",75,0.2374276,0.000441088925278383,0.2388008,0.00122295860927827
"76",2,0,1,1,1,0,1,"hist",76,0.2371634,0.000468318951151541,0.2385692,0.00128981090086697
"77",2,0,1,1,1,0,1,"hist",77,0.2369514,0.000488845415238399,0.2383684,0.00118625825181368
"78",2,0,1,1,1,0,1,"hist",78,0.2368332,0.000503709995932173,0.2382396,0.00118875558463729
"79",2,0,1,1,1,0,1,"hist",79,0.2366054,0.000470371597787336,0.2380266,0.00124556310157115
"80",2,0,1,1,1,0,1,"hist",80,0.2365432,0.000511080189400285,0.2379676,0.00122669451779897
"81",3,0,1,1,1,0,1,"hist",1,0.304735,0.000237732622898015,0.3048732,0.000737991707258802
"82",3,0,1,1,1,0,1,"hist",2,0.2856266,0.000272082781512017,0.2857984,0.000868137224178908
"83",3,0,1,1,1,0,1,"hist",3,0.2780972,0.000509929563767422,0.2783512,0.000995194935674371
"84",3,0,1,1,1,0,1,"hist",4,0.2717616,0.00131237381869819,0.2721464,0.00178813361916551
"85",3,0,1,1,1,0,1,"hist",5,0.2680256,0.000574039232093325,0.2685226,0.00124701605443092
"86",3,0,1,1,1,0,1,"hist",6,0.2634834,0.000557744242474995,0.2640006,0.00108528256229613
"87",3,0,1,1,1,0,1,"hist",7,0.26104,0.000966889859292541,0.26161,0.000979248078881552
"88",3,0,1,1,1,0,1,"hist",8,0.2591738,0.000564254339811578,0.2598304,0.00122560819188076
"89",3,0,1,1,1,0,1,"hist",9,0.2573446,0.000714639657450841,0.2580128,0.000992685126308605
"90",3,0,1,1,1,0,1,"hist",10,0.2552174,0.000867951980243392,0.2559688,0.00113410958906577
